"","x"
"1",2
"2",2
"3",1
"4",3
"5",3
"6",2
"7",2
"8",2
"9",3
"10",3
"11",2
"12",3
"13",1
"14",1
"15",3
"16",1
"17",3
"18",1
"19",2
"20",2
"21",2
"22",2
"23",2
"24",3
"25",1
"26",3
"27",3
"28",1
"29",3
"30",2
"31",2
"32",3
"33",2
"34",3
"35",2
"36",2
"37",3
"38",2
"39",3
"40",2
"41",2
"42",3
"43",1
"44",2
"45",2
"46",2
"47",3
"48",3
"49",2
"50",2
"51",2
"52",3
"53",3
"54",2
"55",2
"56",3
"57",2
"58",3
"59",3
"60",1
"61",1
"62",2
"63",3
"64",3
"65",3
"66",2
"67",3
"68",3
"69",3
"70",3
"71",3
"72",1
"73",3
"74",3
"75",3
"76",2
"77",3
"78",3
"79",1
"80",2
"81",2
"82",3
"83",2
"84",2
"85",3
"86",3
"87",2
"88",3
"89",3
"90",2
"91",2
"92",2
"93",1
"94",2
"95",2
"96",3
"97",3
"98",3
"99",2
"100",2
"101",2
"102",2
"103",2
"104",2
"105",3
"106",2
"107",3
"108",3
"109",2
"110",2
"111",2
"112",1
"113",2
"114",2
"115",2
"116",2
"117",2
"118",3
"119",3
"120",3
"121",2
"122",3
"123",2
"124",1
"125",2
"126",3
"127",1
"128",3
"129",1
"130",3
"131",2
"132",2
"133",3
"134",2
"135",3
"136",1
"137",2
"138",2
"139",1
"140",2
"141",1
"142",2
"143",2
"144",2
"145",2
"146",2
"147",3
"148",1
"149",2
"150",3
"151",2
"152",1
"153",2
"154",3
"155",2
"156",2
"157",2
"158",3
"159",2
"160",2
"161",1
"162",2
"163",2
"164",1
"165",1
"166",2
"167",3
"168",2
"169",3
"170",2
"171",3
"172",3
"173",3
"174",2
"175",2
"176",1
"177",3
"178",3
"179",2
"180",2
"181",2
"182",2
"183",1
"184",2
"185",1
"186",3
"187",1
"188",2
"189",3
"190",3
"191",2
"192",3
"193",2
"194",1
"195",3
"196",3
"197",3
"198",1
"199",2
"200",2
"201",3
"202",2
"203",3
"204",2
"205",1
"206",3
"207",2
"208",3
"209",2
"210",3
"211",1
"212",3
"213",2
"214",2
"215",2
"216",2
"217",3
"218",3
"219",1
"220",2
"221",2
"222",2
"223",2
"224",3
"225",2
"226",2
"227",1
"228",2
"229",3
"230",2
"231",1
"232",3
"233",3
"234",2
"235",2
"236",2
"237",2
"238",2
"239",2
"240",1
"241",1
"242",2
"243",2
"244",2
"245",3
"246",3
"247",3
"248",1
"249",2
"250",2
"251",3
"252",3
"253",3
"254",2
"255",1
"256",2
"257",2
"258",2
"259",3
"260",1
"261",1
"262",3
"263",2
"264",1
"265",2
"266",2
"267",3
"268",3
"269",1
"270",1
"271",2
"272",1
"273",2
"274",2
"275",2
"276",2
"277",3
"278",2
"279",2
"280",3
"281",3
"282",2
"283",3
"284",3
"285",2
"286",3
"287",1
"288",2
"289",2
"290",2
"291",1
"292",3
"293",2
"294",1
"295",3
"296",2
"297",3
"298",1
"299",3
"300",2
"301",3
"302",2
"303",2
"304",3
"305",2
"306",1
"307",2
"308",2
"309",2
"310",3
"311",3
"312",1
"313",3
"314",3
"315",2
"316",1
"317",2
"318",2
"319",3
"320",3
"321",3
"322",2
"323",2
"324",2
"325",2
"326",2
"327",1
"328",2
"329",2
"330",3
"331",1
"332",2
"333",2
"334",2
"335",1
"336",2
"337",3
"338",1
"339",2
"340",2
"341",2
"342",3
"343",1
"344",1
"345",3
"346",2
"347",1
"348",1
"349",2
"350",2
"351",2
"352",2
"353",1
"354",2
"355",2
"356",2
"357",3
"358",2
"359",3
"360",3
"361",3
"362",2
"363",3
"364",2
"365",2
"366",2
"367",1
"368",2
"369",1
"370",2
"371",3
"372",2
"373",3
"374",2
"375",2
"376",2
"377",3
"378",2
"379",3
"380",2
"381",3
"382",2
"383",3
"384",3
"385",2
"386",3
"387",3
"388",3
"389",2
"390",2
"391",2
"392",2
"393",1
"394",2
"395",2
"396",3
"397",3
"398",1
"399",2
"400",3
"401",2
"402",2
"403",2
"404",2
"405",3
"406",2
"407",2
"408",3
"409",2
"410",3
"411",2
"412",2
"413",3
"414",2
"415",3
"416",2
"417",1
"418",1
"419",2
"420",3
"421",2
"422",3
"423",2
"424",2
"425",2
"426",2
"427",2
"428",1
"429",2
"430",2
"431",2
"432",2
"433",1
"434",3
"435",3
"436",2
"437",1
"438",2
"439",3
"440",2
"441",1
"442",2
"443",3
"444",2
"445",3
"446",2
"447",2
"448",3
"449",2
"450",2
"451",3
"452",2
"453",3
"454",2
"455",3
"456",3
"457",2
"458",3
"459",1
"460",3
"461",2
"462",3
"463",3
"464",3
"465",3
"466",3
"467",1
"468",3
"469",2
"470",3
"471",2
"472",2
"473",3
"474",1
"475",1
"476",2
"477",3
"478",3
"479",1
"480",2
"481",1
"482",3
"483",3
"484",2
"485",2
"486",3
"487",3
"488",2
"489",3
"490",2
"491",2
"492",2
"493",2
"494",1
"495",3
"496",1
"497",3
"498",2
"499",2
"500",1
