"","x"
"1",2
"2",3
"3",2
"4",2
"5",1
"6",2
"7",2
"8",1
"9",2
"10",2
"11",2
"12",2
"13",3
"14",2
"15",1
"16",1
"17",3
"18",2
"19",2
"20",1
"21",3
"22",1
"23",3
"24",2
"25",3
"26",1
"27",2
"28",2
"29",1
"30",1
"31",2
"32",1
"33",3
"34",2
"35",3
"36",2
"37",2
"38",2
"39",1
"40",1
"41",1
"42",1
"43",3
"44",2
"45",1
"46",3
"47",3
"48",2
"49",1
"50",1
"51",3
"52",1
"53",2
"54",3
"55",1
"56",1
"57",2
"58",2
"59",3
"60",2
"61",2
"62",2
"63",2
"64",2
"65",2
"66",1
"67",2
"68",3
"69",1
"70",1
"71",3
"72",3
"73",2
"74",1
"75",2
"76",2
"77",2
"78",2
"79",1
"80",1
"81",1
"82",2
"83",2
"84",1
"85",1
"86",1
"87",3
"88",1
"89",1
"90",3
"91",2
"92",1
"93",1
"94",1
"95",2
"96",1
"97",3
"98",3
"99",1
"100",3
"101",3
"102",2
"103",1
"104",1
"105",2
"106",3
"107",1
"108",2
"109",3
"110",2
"111",1
"112",3
"113",2
"114",1
"115",2
"116",3
"117",1
"118",3
"119",1
"120",1
"121",2
"122",1
"123",1
"124",3
"125",2
"126",2
"127",2
"128",2
"129",2
"130",2
"131",2
"132",2
"133",2
"134",3
"135",2
"136",3
"137",3
"138",1
"139",3
"140",2
"141",2
"142",3
"143",2
"144",1
"145",2
"146",3
"147",1
"148",3
"149",3
"150",2
"151",2
"152",1
"153",2
"154",3
"155",3
"156",1
"157",2
"158",1
"159",2
"160",1
"161",1
"162",2
"163",1
"164",1
"165",1
"166",2
"167",3
"168",2
"169",1
"170",3
"171",1
"172",1
"173",2
"174",2
"175",1
"176",1
"177",3
"178",2
"179",1
"180",1
"181",1
"182",2
"183",3
"184",1
"185",2
"186",3
"187",1
"188",1
"189",1
"190",2
"191",3
"192",3
"193",3
"194",3
"195",2
"196",2
"197",1
"198",1
"199",3
"200",2
"201",2
"202",3
"203",2
"204",2
"205",1
"206",1
"207",2
"208",3
"209",2
"210",1
"211",2
"212",2
"213",2
"214",2
"215",3
"216",2
"217",2
"218",3
"219",3
"220",1
"221",2
"222",3
"223",2
"224",1
"225",2
"226",2
"227",2
"228",1
"229",2
"230",1
"231",2
"232",3
"233",3
"234",2
"235",1
"236",1
"237",2
"238",3
"239",2
"240",1
"241",2
"242",3
"243",2
"244",1
"245",3
"246",2
"247",3
"248",1
"249",3
"250",3
"251",1
"252",1
"253",3
"254",1
"255",3
"256",3
"257",2
"258",1
"259",2
"260",1
"261",2
"262",1
"263",1
"264",1
"265",2
"266",2
"267",2
"268",3
"269",2
"270",1
"271",3
"272",1
"273",2
"274",2
"275",3
"276",1
"277",1
"278",1
"279",2
"280",1
"281",2
"282",3
"283",3
"284",2
"285",1
"286",2
"287",1
"288",1
"289",2
"290",2
"291",3
"292",1
"293",2
"294",1
"295",1
"296",2
"297",2
"298",2
"299",2
"300",1
"301",3
"302",3
"303",2
"304",3
"305",3
"306",1
"307",1
"308",2
"309",1
"310",2
"311",1
"312",2
"313",2
"314",1
"315",1
"316",2
"317",1
"318",1
"319",3
"320",2
"321",1
"322",2
"323",2
"324",2
"325",2
"326",1
"327",1
"328",2
"329",1
"330",2
"331",1
"332",2
"333",1
"334",1
"335",1
"336",2
"337",1
"338",3
"339",1
"340",1
"341",2
"342",1
"343",1
"344",2
"345",2
"346",2
"347",2
"348",1
"349",1
"350",2
"351",2
"352",1
"353",3
"354",2
"355",2
"356",1
"357",2
"358",3
"359",2
"360",1
"361",2
"362",2
"363",2
"364",1
"365",2
"366",2
"367",2
"368",3
"369",1
"370",1
"371",1
"372",1
"373",2
"374",3
"375",3
"376",2
"377",2
"378",2
"379",1
"380",2
"381",1
"382",2
"383",2
"384",2
"385",1
"386",3
"387",1
"388",1
"389",2
"390",2
"391",2
"392",2
"393",1
"394",1
"395",1
"396",1
"397",2
"398",2
"399",3
"400",3
"401",1
"402",1
"403",2
"404",1
"405",1
"406",1
"407",2
"408",3
"409",2
"410",2
"411",2
"412",2
"413",1
"414",1
"415",1
"416",2
"417",3
"418",2
"419",2
"420",2
"421",3
"422",2
"423",1
"424",2
"425",2
"426",3
"427",1
"428",3
"429",2
"430",2
"431",2
"432",2
"433",1
"434",2
"435",1
"436",2
"437",3
"438",1
"439",3
"440",2
"441",1
"442",3
"443",1
"444",2
"445",3
"446",2
"447",1
"448",1
"449",3
"450",1
"451",2
"452",1
"453",2
"454",1
"455",1
"456",3
"457",1
"458",2
"459",3
"460",2
"461",1
"462",2
"463",1
"464",3
"465",2
"466",1
"467",2
"468",2
"469",3
"470",2
"471",2
"472",3
"473",1
"474",2
"475",2
"476",1
"477",2
"478",2
"479",2
"480",2
"481",1
"482",3
"483",1
"484",1
"485",3
"486",2
"487",3
"488",1
"489",2
"490",3
"491",1
"492",1
"493",3
"494",2
"495",2
"496",1
"497",2
"498",3
"499",2
"500",1
