"","x"
"1",1
"2",1
"3",5
"4",5
"5",5
"6",5
"7",4
"8",1
"9",3
"10",3
"11",1
"12",4
"13",3
"14",2
"15",5
"16",1
"17",5
"18",3
"19",1
"20",3
"21",5
"22",5
"23",2
"24",5
"25",1
"26",5
"27",2
"28",3
"29",4
"30",3
"31",5
"32",3
"33",2
"34",4
"35",2
"36",4
"37",3
"38",4
"39",5
"40",2
"41",5
"42",5
"43",1
"44",1
"45",5
"46",5
"47",1
"48",3
"49",1
"50",5
"51",5
"52",3
"53",2
"54",5
"55",2
"56",3
"57",5
"58",5
"59",3
"60",1
"61",2
"62",5
"63",4
"64",2
"65",5
"66",5
"67",5
"68",5
"69",2
"70",2
"71",5
"72",5
"73",4
"74",1
"75",1
"76",4
"77",5
"78",5
"79",3
"80",4
"81",5
"82",1
"83",4
"84",4
"85",1
"86",1
"87",1
"88",5
"89",5
"90",5
"91",5
"92",5
"93",1
"94",5
"95",2
"96",4
"97",5
"98",5
"99",4
"100",1
"101",4
"102",5
"103",4
"104",4
"105",5
"106",2
"107",5
"108",5
"109",5
"110",1
"111",5
"112",1
"113",5
"114",5
"115",1
"116",4
"117",2
"118",2
"119",5
"120",2
"121",5
"122",1
"123",5
"124",2
"125",1
"126",4
"127",5
"128",1
"129",3
"130",2
"131",1
"132",3
"133",4
"134",3
"135",2
"136",1
"137",4
"138",5
"139",5
"140",4
"141",1
"142",5
"143",2
"144",5
"145",5
"146",5
"147",1
"148",1
"149",5
"150",5
"151",1
"152",2
"153",5
"154",2
"155",5
"156",2
"157",2
"158",5
"159",5
"160",5
"161",5
"162",5
"163",1
"164",3
"165",5
"166",5
"167",5
"168",5
"169",5
"170",5
"171",5
"172",3
"173",5
"174",2
"175",2
"176",5
"177",5
"178",2
"179",2
"180",5
"181",2
"182",1
"183",2
"184",5
"185",1
"186",5
"187",5
"188",2
"189",3
"190",3
"191",3
"192",1
"193",5
"194",1
"195",2
"196",5
"197",4
"198",5
"199",5
"200",5
"201",5
"202",4
"203",3
"204",4
"205",1
"206",5
"207",3
"208",5
"209",3
"210",5
"211",4
"212",4
"213",2
"214",5
"215",5
"216",1
"217",1
"218",2
"219",4
"220",2
"221",1
"222",5
"223",3
"224",3
"225",1
"226",5
"227",2
"228",3
"229",5
"230",1
"231",1
"232",2
"233",4
"234",2
"235",5
"236",2
"237",1
"238",2
"239",5
"240",2
"241",5
"242",5
"243",5
"244",4
"245",3
"246",4
"247",1
"248",1
"249",5
"250",5
"251",1
"252",5
"253",4
"254",5
"255",2
"256",5
"257",3
"258",3
"259",2
"260",2
"261",2
"262",4
"263",1
"264",3
"265",5
"266",3
"267",5
"268",1
"269",2
"270",5
"271",2
"272",3
"273",1
"274",1
"275",4
"276",1
"277",3
"278",5
"279",2
"280",3
"281",4
"282",5
"283",5
"284",5
"285",1
"286",5
"287",3
"288",2
"289",5
"290",5
"291",5
"292",5
"293",2
"294",2
"295",4
"296",5
"297",5
"298",3
"299",1
"300",1
"301",2
"302",2
"303",3
"304",1
"305",3
"306",2
"307",2
"308",5
"309",4
"310",5
"311",2
"312",1
"313",1
"314",1
"315",3
"316",3
"317",5
"318",5
"319",5
"320",1
"321",2
"322",2
"323",4
"324",5
"325",5
"326",1
"327",5
"328",2
"329",5
"330",2
"331",2
"332",1
"333",5
"334",4
"335",2
"336",2
"337",5
"338",5
"339",5
"340",2
"341",1
"342",5
"343",5
"344",1
"345",3
"346",2
"347",5
"348",2
"349",3
"350",5
"351",5
"352",5
"353",5
"354",3
"355",1
"356",2
"357",1
"358",5
"359",3
"360",5
"361",5
"362",5
"363",2
"364",5
"365",5
"366",2
"367",5
"368",1
"369",3
"370",5
"371",4
"372",1
"373",2
"374",2
"375",5
"376",2
"377",5
"378",3
"379",5
"380",2
"381",5
"382",1
"383",5
"384",5
"385",5
"386",2
"387",2
"388",5
"389",5
"390",2
"391",5
"392",1
"393",2
"394",3
"395",1
"396",4
"397",2
"398",1
"399",1
"400",5
"401",3
"402",1
"403",2
"404",4
"405",2
"406",4
"407",3
"408",5
"409",3
"410",2
"411",2
"412",3
"413",2
"414",2
"415",1
"416",2
"417",4
"418",3
"419",1
"420",5
"421",2
"422",5
"423",4
"424",2
"425",5
"426",4
"427",1
"428",5
"429",4
"430",2
"431",2
"432",1
"433",1
"434",2
"435",1
"436",3
"437",5
"438",5
"439",5
"440",5
"441",1
"442",2
"443",2
"444",1
"445",2
"446",1
"447",4
"448",1
"449",1
"450",5
"451",1
"452",5
"453",2
"454",1
"455",1
"456",5
"457",4
"458",2
"459",5
"460",3
"461",1
"462",5
"463",1
"464",5
"465",2
"466",5
"467",5
"468",2
"469",2
"470",5
"471",4
"472",1
"473",5
"474",5
"475",5
"476",3
"477",5
"478",1
"479",5
"480",3
"481",4
"482",2
"483",4
"484",1
"485",1
"486",5
"487",5
"488",5
"489",3
"490",4
"491",4
"492",1
"493",1
"494",1
"495",3
"496",1
"497",4
"498",5
"499",5
"500",3
