"","x"
"1",1
"2",4
"3",3
"4",1
"5",3
"6",4
"7",2
"8",3
"9",3
"10",1
"11",2
"12",2
"13",4
"14",2
"15",4
"16",2
"17",2
"18",4
"19",1
"20",3
"21",4
"22",1
"23",1
"24",2
"25",4
"26",1
"27",2
"28",4
"29",1
"30",2
"31",1
"32",4
"33",4
"34",1
"35",4
"36",2
"37",4
"38",1
"39",4
"40",2
"41",2
"42",3
"43",2
"44",1
"45",1
"46",4
"47",1
"48",1
"49",2
"50",3
"51",1
"52",1
"53",3
"54",4
"55",2
"56",2
"57",4
"58",1
"59",4
"60",1
"61",4
"62",2
"63",2
"64",2
"65",4
"66",1
"67",4
"68",2
"69",4
"70",1
"71",2
"72",1
"73",1
"74",4
"75",4
"76",4
"77",4
"78",1
"79",4
"80",3
"81",3
"82",3
"83",4
"84",2
"85",4
"86",1
"87",2
"88",1
"89",1
"90",3
"91",4
"92",4
"93",3
"94",3
"95",2
"96",4
"97",4
"98",3
"99",4
"100",4
"101",4
"102",4
"103",4
"104",4
"105",2
"106",4
"107",2
"108",1
"109",3
"110",1
"111",4
"112",1
"113",4
"114",2
"115",4
"116",1
"117",3
"118",2
"119",1
"120",2
"121",1
"122",2
"123",4
"124",2
"125",4
"126",2
"127",1
"128",1
"129",3
"130",2
"131",4
"132",1
"133",3
"134",1
"135",3
"136",2
"137",4
"138",3
"139",4
"140",2
"141",1
"142",3
"143",4
"144",1
"145",4
"146",4
"147",2
"148",4
"149",4
"150",2
"151",4
"152",1
"153",3
"154",2
"155",2
"156",4
"157",3
"158",2
"159",4
"160",2
"161",4
"162",2
"163",2
"164",1
"165",2
"166",1
"167",4
"168",1
"169",4
"170",2
"171",4
"172",3
"173",2
"174",4
"175",2
"176",4
"177",4
"178",4
"179",1
"180",1
"181",3
"182",1
"183",1
"184",4
"185",2
"186",2
"187",4
"188",4
"189",2
"190",1
"191",1
"192",3
"193",4
"194",1
"195",4
"196",3
"197",1
"198",2
"199",2
"200",2
"201",3
"202",2
"203",4
"204",1
"205",2
"206",1
"207",4
"208",2
"209",1
"210",4
"211",3
"212",1
"213",2
"214",4
"215",4
"216",3
"217",1
"218",4
"219",4
"220",2
"221",1
"222",2
"223",4
"224",4
"225",3
"226",1
"227",2
"228",1
"229",4
"230",1
"231",4
"232",4
"233",4
"234",1
"235",4
"236",4
"237",4
"238",2
"239",2
"240",3
"241",2
"242",4
"243",4
"244",4
"245",1
"246",4
"247",2
"248",4
"249",4
"250",4
"251",4
"252",2
"253",3
"254",1
"255",4
"256",4
"257",4
"258",2
"259",1
"260",3
"261",3
"262",2
"263",4
"264",4
"265",4
"266",4
"267",1
"268",4
"269",4
"270",4
"271",3
"272",4
"273",2
"274",4
"275",3
"276",4
"277",4
"278",2
"279",3
"280",1
"281",2
"282",4
"283",1
"284",3
"285",4
"286",4
"287",1
"288",1
"289",4
"290",1
"291",3
"292",4
"293",1
"294",2
"295",4
"296",4
"297",4
"298",3
"299",4
"300",4
"301",2
"302",2
"303",4
"304",4
"305",1
"306",4
"307",4
"308",1
"309",1
"310",2
"311",2
"312",3
"313",2
"314",1
"315",1
"316",1
"317",1
"318",2
"319",4
"320",2
"321",3
"322",2
"323",3
"324",4
"325",4
"326",3
"327",4
"328",4
"329",4
"330",3
"331",1
"332",1
"333",4
"334",1
"335",2
"336",3
"337",4
"338",4
"339",4
"340",2
"341",4
"342",4
"343",3
"344",2
"345",1
"346",4
"347",4
"348",4
"349",4
"350",2
"351",3
"352",2
"353",4
"354",4
"355",1
"356",4
"357",3
"358",2
"359",1
"360",1
"361",4
"362",4
"363",2
"364",4
"365",4
"366",2
"367",4
"368",3
"369",3
"370",4
"371",4
"372",4
"373",4
"374",4
"375",2
"376",4
"377",3
"378",2
"379",1
"380",3
"381",3
"382",4
"383",3
"384",3
"385",4
"386",1
"387",1
"388",3
"389",4
"390",4
"391",1
"392",2
"393",4
"394",3
"395",2
"396",1
"397",1
"398",1
"399",2
"400",3
"401",4
"402",1
"403",4
"404",4
"405",1
"406",1
"407",2
"408",3
"409",4
"410",4
"411",1
"412",4
"413",3
"414",4
"415",1
"416",2
"417",4
"418",4
"419",3
"420",1
"421",1
"422",1
"423",4
"424",4
"425",4
"426",4
"427",3
"428",1
"429",4
"430",1
"431",4
"432",1
"433",3
"434",4
"435",4
"436",3
"437",4
"438",2
"439",1
"440",2
"441",2
"442",4
"443",4
"444",4
"445",4
"446",4
"447",4
"448",2
"449",2
"450",1
"451",2
"452",4
"453",1
"454",2
"455",2
"456",4
"457",2
"458",2
"459",4
"460",1
"461",4
"462",4
"463",3
"464",1
"465",1
"466",1
"467",1
"468",2
"469",1
"470",4
"471",4
"472",2
"473",4
"474",1
"475",3
"476",3
"477",3
"478",4
"479",4
"480",4
"481",4
"482",1
"483",1
"484",1
"485",3
"486",4
"487",1
"488",2
"489",1
"490",4
"491",2
"492",2
"493",1
"494",4
"495",2
"496",2
"497",2
"498",4
"499",2
"500",3
