"","x"
"1",3
"2",2
"3",2
"4",2
"5",3
"6",3
"7",2
"8",1
"9",2
"10",1
"11",1
"12",1
"13",1
"14",2
"15",1
"16",1
"17",1
"18",2
"19",1
"20",3
"21",2
"22",2
"23",3
"24",2
"25",3
"26",1
"27",1
"28",1
"29",2
"30",2
"31",1
"32",1
"33",2
"34",1
"35",2
"36",1
"37",3
"38",1
"39",1
"40",2
"41",1
"42",2
"43",2
"44",1
"45",1
"46",2
"47",2
"48",2
"49",1
"50",2
"51",2
"52",3
"53",2
"54",1
"55",3
"56",1
"57",2
"58",3
"59",1
"60",2
"61",2
"62",3
"63",2
"64",2
"65",3
"66",1
"67",2
"68",2
"69",2
"70",2
"71",1
"72",1
"73",1
"74",1
"75",2
"76",1
"77",2
"78",2
"79",2
"80",1
"81",2
"82",2
"83",3
"84",1
"85",3
"86",2
"87",2
"88",2
"89",2
"90",2
"91",2
"92",1
"93",1
"94",1
"95",2
"96",1
"97",2
"98",2
"99",1
"100",1
"101",3
"102",3
"103",2
"104",1
"105",2
"106",2
"107",1
"108",2
"109",3
"110",2
"111",1
"112",1
"113",2
"114",2
"115",1
"116",1
"117",2
"118",2
"119",3
"120",3
"121",2
"122",2
"123",2
"124",2
"125",3
"126",1
"127",2
"128",2
"129",2
"130",2
"131",1
"132",2
"133",2
"134",1
"135",2
"136",1
"137",1
"138",3
"139",1
"140",1
"141",3
"142",2
"143",3
"144",2
"145",2
"146",3
"147",1
"148",2
"149",1
"150",2
"151",2
"152",2
"153",2
"154",2
"155",1
"156",1
"157",3
"158",1
"159",2
"160",1
"161",2
"162",1
"163",2
"164",2
"165",1
"166",1
"167",2
"168",2
"169",1
"170",2
"171",1
"172",2
"173",1
"174",2
"175",1
"176",1
"177",3
"178",3
"179",2
"180",2
"181",3
"182",1
"183",2
"184",1
"185",3
"186",2
"187",1
"188",2
"189",2
"190",2
"191",2
"192",2
"193",2
"194",3
"195",3
"196",1
"197",2
"198",1
"199",1
"200",1
"201",1
"202",1
"203",1
"204",1
"205",3
"206",1
"207",2
"208",1
"209",2
"210",1
"211",1
"212",1
"213",1
"214",2
"215",2
"216",2
"217",1
"218",1
"219",3
"220",1
"221",2
"222",2
"223",1
"224",2
"225",1
"226",1
"227",2
"228",1
"229",2
"230",2
"231",2
"232",2
"233",2
"234",1
"235",1
"236",2
"237",2
"238",3
"239",2
"240",1
"241",1
"242",2
"243",1
"244",3
"245",3
"246",3
"247",2
"248",3
"249",1
"250",1
"251",1
"252",3
"253",2
"254",1
"255",1
"256",1
"257",1
"258",2
"259",1
"260",1
"261",3
"262",2
"263",2
"264",1
"265",1
"266",2
"267",2
"268",1
"269",3
"270",1
"271",3
"272",2
"273",1
"274",1
"275",2
"276",3
"277",1
"278",3
"279",3
"280",1
"281",1
"282",2
"283",2
"284",2
"285",1
"286",2
"287",3
"288",1
"289",1
"290",2
"291",2
"292",2
"293",1
"294",2
"295",2
"296",3
"297",2
"298",2
"299",3
"300",2
"301",2
"302",3
"303",2
"304",2
"305",2
"306",3
"307",1
"308",1
"309",1
"310",3
"311",1
"312",1
"313",2
"314",2
"315",2
"316",2
"317",3
"318",2
"319",2
"320",3
"321",1
"322",2
"323",2
"324",2
"325",3
"326",2
"327",2
"328",3
"329",2
"330",3
"331",2
"332",1
"333",3
"334",3
"335",2
"336",3
"337",1
"338",3
"339",2
"340",2
"341",2
"342",2
"343",2
"344",2
"345",1
"346",2
"347",1
"348",1
"349",3
"350",2
"351",1
"352",3
"353",2
"354",1
"355",1
"356",3
"357",1
"358",1
"359",2
"360",2
"361",2
"362",3
"363",2
"364",1
"365",1
"366",2
"367",2
"368",2
"369",2
"370",1
"371",1
"372",1
"373",1
"374",2
"375",3
"376",3
"377",1
"378",3
"379",1
"380",1
"381",3
"382",2
"383",1
"384",2
"385",3
"386",1
"387",1
"388",2
"389",2
"390",1
"391",1
"392",3
"393",2
"394",3
"395",3
"396",2
"397",1
"398",2
"399",2
"400",3
"401",2
"402",2
"403",1
"404",1
"405",2
"406",2
"407",1
"408",2
"409",1
"410",1
"411",1
"412",1
"413",1
"414",2
"415",2
"416",1
"417",3
"418",2
"419",2
"420",2
"421",3
"422",2
"423",1
"424",3
"425",2
"426",1
"427",2
"428",1
"429",1
"430",1
"431",3
"432",2
"433",1
"434",2
"435",2
"436",2
"437",3
"438",1
"439",2
"440",2
"441",1
"442",3
"443",1
"444",2
"445",2
"446",1
"447",3
"448",1
"449",1
"450",2
"451",2
"452",2
"453",2
"454",1
"455",1
"456",1
"457",3
"458",2
"459",3
"460",1
"461",2
"462",1
"463",1
"464",1
"465",3
"466",1
"467",3
"468",1
"469",1
"470",2
"471",2
"472",2
"473",3
"474",2
"475",1
"476",2
"477",2
"478",3
"479",1
"480",2
"481",3
"482",2
"483",2
"484",1
"485",2
"486",2
"487",1
"488",1
"489",2
"490",2
"491",1
"492",1
"493",1
"494",2
"495",1
"496",3
"497",2
"498",1
"499",3
"500",2
